"Morphotype","Slide.number.info","Z1","Z2","A1","A2","A3","A4","B1","B2","B3","C1","C2","C3","D1","D2","E1","E2","E3","E4","E5","E6","E7","E8","E9","F1","F2","F3","F4","F5","F6","F7","F8","G2","G3","G4","G5","G6","G7","G8","H1","H2","H3","H4","I1","I2","I3","I4","J1","J2","J3","J4","K1","L1","L2","M1","M2","X","Z1.1","Z2.1","A1.1","A2.1","A3.1","A4.1","B1.1","B2.1","B3.1","C1.1","C2.1","C3.1","D1.1","D2.1","E1.1","E2.1","E3.1","E4.1","E5.1","E6.1","E7.1","E8.1","E9.1","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","G2.1","G3.1","G4.1","G5.1","G6.1","G7.1","G8.1","H1.1","H2.1","H3.1","H4.1","I1.1","I2.1","I3.1","I4.1","J1.1","J2.1","J3.1","J4.1","K1.1","L1.1","L2.1","M1.1","M2.1","MDS1","MDS2","MDS3"
"Bladed cone tip-only curve",280,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.3.Major curve","C2.2.Tip-only","C3.1.Side-curve","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.1.Small","F3.4.Full-length","F4.5.Full-length","F5.3.Middle-heavy","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.4.Full-length","G4.5.Full-length","G5.3.Middle-heavy","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.3.Wide","J3.3.Convex","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,3,3,1,1,1,0,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,2,1,4,5,3,1,1,0,1,4,5,3,1,1,0,1,0,0,0,0,0,0,0,4,3,3,0,1,0,0,2,1,-0.00292496123039533,0.0502944373997633,0.118143416963611
"Full root single bladed cone",281,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.4.Single","F2.2.Medium","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,3,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,4,2,4,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,1,0,1,0,0,1,1,0.00344225709561987,0.0686492862729846,0.022778821212628
"Upper 1/4 blade cone",282,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.2.Minor curve","C2.1.Whole-tooth","C3.4.Cone-curve","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.1.Upper","F4.1.(1/4)","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.1.Upper","G4.1.(1/4)","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.4.Total","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,3,1,1,1,0,0,2,1,4,1,1,1,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,0,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,6,4,1,0,1,0,0,1,1,0.0469146216249738,0.0958645373943992,0.0346484684324329
"Arrowhead triangle",283,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.4.Stalked","A4.0.Not a triangle or too broken to code","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.3.Major curve","C2.2.Tip-only","C3.1.Side-curve","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.1.Small","F3.1.Upper","F4.1.(1/4)","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.1.Upper","G4.1.(1/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.4.Total","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.4.Bulbous","M2.1.Tip material same as rest of tooth",0,1,1,3,3,4,0,1,0,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,4,1,1,0,1,1,1,4,1,1,0,1,0,0,0,0,0,0,0,6,4,1,0,1,0,0,4,1,-0.0246071894599697,0.285118969165828,0.123489626383643
"Elongated two part squat tip",284,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.2.Two-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.5.(3/4)","L2.1.Straight","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,3,1,1,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,7,0,1,5,1,1,1,0.152366053469446,0.0577940557858642,-0.0723673352433647
"Elongated two part medium tip",285,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.2.Two-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.4.(2/3)","L2.1.Straight","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,3,1,1,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,7,0,1,4,1,1,1,0.151928521290075,0.0542907366834476,-0.075744466621875
"Long spiraling striation",286,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.5.Spiraling striation","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.2.Two-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.5.(3/4)","L2.1.Straight","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,3,1,1,5,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,7,0,1,5,1,1,1,0.188201348271619,0.109842364538846,-0.140774570002351
"Long curved two part bulbous tip",287,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.2.Minor curve","C2.1.Whole-tooth","C3.4.Cone-curve","D1.2.Two-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.4.(2/3)","L2.1.Straight","M1.4.Bulbous","M2.1.Tip material same as rest of tooth",0,1,1,3,3,1,1,1,0,0,2,1,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,7,0,1,4,1,4,1,0.207607661902744,0.140426812452765,-0.0432164975908936
"Curved two part curved tip",288,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.2.Minor curve","C2.1.Whole-tooth","C3.4.Cone-curve","D1.2.Two-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.3.(1/2)","L2.1.Straight","M1.1.Pointed","M2.2.Cap tip",0,1,1,3,3,1,1,1,0,0,2,1,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,7,0,1,3,1,1,2,0.246333488360757,0.00140151036830895,0.0166100827443207
"3-part major curved cone",289,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.3.Major curve","C2.1.Whole-tooth","C3.4.Cone-curve","D1.3.Three+ parts","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.5.(3/4)","L2.1.Straight","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,3,1,1,1,0,0,3,1,4,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,7,0,1,5,1,1,1,0.216404630628564,0.146441738205553,-0.0591673454516321
"Middle barb cone total root",290,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.2.(1/4)","H2.2.Middle","H3.3.Straight-edge","H4.1.Right triangle","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.4.(2/3)","L2.1.Straight","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,3,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,5,4,7,0,1,4,1,1,1,0.16421126834729,0.0825444754434111,-0.121618515462942
"1/2 dome root lower barb",292,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.2.Two-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.2.(1/4)","H2.3.Bottom","H3.3.Straight-edge","H4.2.Obtuse","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.3.Wide","J3.3.Convex","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,3,1,1,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,4,3,3,0,1,0,0,1,1,0.165737530714177,0.0753477866119621,-0.179361393442964
"Recurved middle barb",293,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.4.Recurved","C2.1.Whole-tooth","C3.4.Cone-curve","D1.2.Two-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.2.(1/4)","H2.1.Top","H3.1.Outer-curve","H4.1.Right triangle","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.5.(3/4)","L2.1.Straight","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,3,1,1,1,0,0,4,1,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,5,4,7,0,1,5,1,1,1,0.21395646495864,0.186298894544425,-0.0994376349964112
"Long dimpled cone",294,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.4.Extra-long","A2.2.Mid-depth","A3.1.Triangle","A4.1.Straight","B1.7.Dimpled","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.3.Wide","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.2.Flared","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,4,2,1,1,7,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,1,0,2,0,0,1,1,0.0949220145699335,0.25959388281442,0.00315480473831048
"Elongated convex root cone",295,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.4.Extra-long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.3.Wide","J3.3.Convex","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.2.Cap tip",0,1,1,4,3,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,3,0,1,0,0,2,2,0.183414597363462,-0.0731008759530102,0.108642118188041
